,Family,Order,Clade,Clade_2,Clade_3_for_arcs,Genus,Species,Nectary,Nelson_EFN_genuslevel,Structured,Source,URL,Placement,Developmental.stage,Hydathode,Aerophore,Notes,Herbarium
288,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_bullata,amb,1,NA,"H. van der Werff, G. Mcpherson & S. Rapanarivo 13615 BH 000 158 053",,costa rachis junction,,NA,,"hard to tell, large aerophore",Cornell
301,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_cuspidata,amb,1,NA,J. Pipoly 15996 BH 000 153 580,,rachis costa junction,,NA,yes,"at first thought the aerophore was a nectary, brown spot under aerophore but unsure if it's a nectary",Cornell
302,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_dealbata,amb,1,NA,P. Hynes SN BH 000 158 041,,rachis costa junction,,NA,,Think they are aerophores,Cornell
315,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_ferdinandii,amb,1,NA,W.W. Watts SN BH 000 158 033,,,,NA,,"Cornell specimen does not have costa rachis junction, NYBG does not have this specimen",Cornell
324,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_havilandii,amb,1,NA,M. Jacobs 5768 BH 000 158 035,http://sweetgum.nybg.org/science/vh/specimen-list/?DarScientificName=Alsophila%20havilandii%20(Baker)%20R.M.Tryon,,,NA,not sure,"hard to tell, too furry","Cornell, NYBG"
5583,Cyatheaceae,NA,NA,NA,NA,NA,Alsophila_junghuhniana,amb,NA,NA,"W. Java, M. Jacobs SN BH 000 157 958",,Possibly rachis-costa junction,,,,Not certain of nectarie,Cornell
5585,Cyatheaceae,NA,NA,NA,NA,NA,Alsophila_longipes,amb,NA,NA,J. & M.S. Clemens 51757 BH 000158 038,,costa rachis junction,,,yes,"raised area, hard to tell what it is, no obvious nectary or aerophore",Cornell
386,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_rolandii,amb,1,NA,"H. van der Werff, G. Mcpherson & S. Rapanarivo 13616 BH 000 158 055",,costa-rachis junction,,NA,,"one junction has an aerophore with a nectary beneath, and the other junction has an aerophore with no nectary",Cornell
562,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_angustifolia,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
563,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_annamensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
564,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_bipinnata,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
565,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_cartilagidens,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
566,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_caudatiformis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
567,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_chingii,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
568,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_cochinchinensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
569,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_danaeoides,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
570,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_dianyuecola,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
571,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_evecta,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
572,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_fokiensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
573,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_helferiana,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
574,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_hokouensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
575,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_itoi,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
576,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_lygodiifolia,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
577,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_madagascariensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
578,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_marchionica,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
579,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_pruinosa,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
580,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_rapensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
581,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_smithii,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
582,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_somae,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
583,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_tamdaoensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
584,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_tonkinensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
585,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_wangii,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
586,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_yunnanensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
3718,Metaxyaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Metaxya,Metaxya_rostrata,amb,0,NA,O.C. James sn; BH 000 157 906,,rachis-costa,,NA,,"dificult to tell, large cells near rachis-costa junction",Cornell
262,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_abbottii,amb_digital,1,NA,R. Howard 8545; NY Barcode: 04006723,http://sweetgum.nybg.org/science/vh/specimen-details/?irn=4310978,NA,,NA,,no rachis-costa found,NYBG
283,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_borneensis,amb_digital,1,NA,M. Jacobs 5602 BH 000 158 014,http://sweetgum.nybg.org/science/vh/specimen-list/?DarScientificName=Alsophila%20borneensis%20(Copel.)%20R.M.Tryon,,,NA,,"Could not find on Cornell specimen, no junctions on NYBG specimens","Cornell, NYBG"
401,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_sinuata,amb_digital,1,NA,,http://sweetgum.nybg.org/science/vh/specimen-list/?DarScientificName=Alsophila%20sinuata%20(Hook.%20&%20Grev.)%20R.M.Tryon,,,NA,,all specimens from Cornell and NYBG did not have rachis costa junction,"Cornell, NYBG"
1,Thelypteridaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Abacopteris,Abacopteris_aspera,NA,NA,NA,,,,,NA,,,
2,Thelypteridaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Abacopteris,Abacopteris_gymnopteridifrons,NA,NA,NA,,,,,NA,,,
3,Thelypteridaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Abacopteris,Abacopteris_nudata,NA,NA,NA,,,,,NA,,,
47,Polypodiaceae,Polypodiales,Eupolypods I,Polypodiaceae,Eupolypods I,Adetogramma,Adetogramma_chrysolepis,NA,NA,NA,,,,,NA,,,
263,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_acaulis,NA,1,NA,,,,,NA,,,
264,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_acrostichoides,NA,1,NA,,,,,NA,,,
265,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_acutula,NA,1,NA,,,,,NA,,,
266,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_albidosquamata,NA,1,NA,,,,,NA,,,
267,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_alta,NA,1,NA,,,,,NA,,,
268,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_andersonii,NA,1,NA,,,,,NA,,,
269,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_andohahelensis,NA,1,NA,,,,,NA,,,
270,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_annae,NA,1,NA,,,,,NA,,,
271,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_apoensis,NA,1,NA,,,,,NA,,,
272,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_appendiculata,NA,1,NA,,,,,NA,,,
273,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_approximata,NA,1,NA,,,,,NA,,,
274,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_archboldii,NA,1,NA,,,,,NA,,,
275,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_auriculata,NA,1,NA,,,,,NA,,,
276,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_australis,NA,1,NA,,,,,NA,,,
277,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_austroyunnanensis,NA,1,NA,,,,,NA,,,
278,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_baileyana,NA,1,NA,,,,,NA,,,
279,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_bellisquamata,NA,1,NA,,,,,NA,,,
280,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_biformis,NA,1,NA,,,,,NA,,,
281,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_boiviniiformis,NA,1,NA,,,,,NA,,,
282,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_borbonica,NA,1,NA,,,,,NA,,,
284,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_brevipinna,NA,1,NA,,,,,NA,,,
285,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_brooksii,NA,1,NA,,,,,NA,,,
286,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_brunoniana,NA,1,NA,,,,,NA,,,
287,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_bryophila,NA,1,NA,,,,,NA,,,
289,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_camerooniana,NA,1,NA,,,,,NA,,,
291,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_catillifera,NA,1,NA,,,,,NA,,,
292,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_celsa,NA,1,NA,,,,,NA,,,
293,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_coactilis,NA,1,NA,,,,,NA,,,
295,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_conantiana,NA,1,NA,,,,,NA,,,
296,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_costalisora,NA,1,NA,,,,,NA,,,
297,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_costularis,NA,1,NA,,,,,NA,,,
298,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_crenulata,NA,1,NA,,,,,NA,,,
303,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_decrescens,NA,1,NA,,,,,NA,,,
304,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_dicksonioides,NA,1,NA,,,,,NA,,,
305,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_dimorpha,NA,1,NA,,,,,NA,,,
307,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_dryopteroides,NA,1,NA,,,,,NA,,,
308,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_edanoi,NA,1,NA,,,,,NA,,,
309,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_emilei,NA,1,NA,,,,,NA,,,
310,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_engelii,NA,1,NA,,,,,NA,,,
311,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_erinacea,NA,1,NA,,,,,NA,,,
312,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_esmeraldensis,NA,1,NA,,,,,NA,,,
313,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_everta,NA,1,NA,,,,,NA,,,
314,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_exilis,NA,1,NA,,,,,NA,,,
317,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_foersteri,NA,1,NA,,,,,NA,,,
318,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_fulgens,NA,1,NA,,,,,NA,,,
319,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_geluensis,NA,1,NA,,,,,NA,,,
320,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_gigantea,NA,1,NA,,,,,NA,,,
322,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_glaucifolia,NA,1,NA,,,,,NA,,,
323,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_grangaudiana,NA,1,NA,,,,,NA,,,
325,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hebes,NA,1,NA,,,,,NA,,,
326,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hooglandii,NA,1,NA,,,,,NA,,,
327,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hookeri,NA,1,NA,,,,,NA,,,
328,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hornei,NA,1,NA,,,,,NA,,,
329,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_humilis,NA,1,NA,,,,,NA,,,
330,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hyacinthei,NA,1,NA,,,,,NA,,,
331,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_hymenodes,NA,1,NA,,,,,NA,,,
332,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_impolita,NA,1,NA,,,,,NA,,,
334,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_incana,NA,1,NA,,,,,NA,,,
335,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_katoi,NA,1,NA,,,,,NA,,,
336,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_kermadecensis,NA,1,NA,,,,,NA,,,
337,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_khasyana,NA,1,NA,,,,,NA,,,
338,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_kirkii,NA,1,NA,,,,,NA,,,
339,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_klossii,NA,1,NA,,,,,NA,,,
340,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_lastii,NA,1,NA,,,,,NA,,,
342,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_ligulata,NA,1,NA,,,,,NA,,,
344,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_longipinnata,NA,1,NA,,,,,NA,,,
345,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_longispina,NA,1,NA,,,,,NA,,,
346,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_lurida,NA,1,NA,,,,,NA,,,
347,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_macgillivrayi,NA,1,NA,,,,,NA,,,
348,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_macgregorii,NA,1,NA,,,,,NA,,,
349,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_manniana,NA,1,NA,,,,,NA,,,
350,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_marattioides,NA,1,NA,,,,,NA,,,
351,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_marcescens,NA,1,NA,,,,,NA,,,
352,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_matitanensis,NA,1,NA,,,,,NA,,,
353,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_media,NA,1,NA,,,,,NA,,,
354,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_melleri,NA,1,NA,,,,,NA,,,
355,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_meridionalis,NA,1,NA,,,,,NA,,,
356,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_metteniana,NA,1,NA,,,,,NA,,,
357,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_micra,NA,1,NA,,,,,NA,,,
358,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_microphylloides,NA,1,NA,,,,,NA,,,
359,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_milnei,NA,1,NA,,,,,NA,,,
360,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_minor,NA,1,NA,,,,,NA,,,
361,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_mostellaria,NA,1,NA,,,,,NA,,,
362,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_muelleri,NA,1,NA,,,,,NA,,,
363,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_nigrolineata,NA,1,NA,,,,,NA,,,
364,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_nilgirensis,NA,1,NA,,,,,NA,,,
365,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_odonelliana,NA,1,NA,,,,,NA,,,
366,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_ogurae,NA,1,NA,,,,,NA,,,
367,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_olivacea,NA,1,NA,,,,,NA,,,
369,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_orientalis,NA,1,NA,,,,,NA,,,
370,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_pachyrrhachis,NA,1,NA,,,,,NA,,,
371,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_paucifolia,NA,1,NA,,,,,NA,,,
373,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_perpelvigera,NA,1,NA,,,,,NA,,,
374,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_perrieriana,NA,1,NA,,,,,NA,,,
375,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_phlebodes,NA,1,NA,,,,,NA,,,
376,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_physolepidota,NA,1,NA,,,,,NA,,,
379,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_poolii,NA,1,NA,,,,,NA,,,
380,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_portoricensis,NA,1,NA,,,,,NA,,,
381,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_pruinosa,NA,1,NA,,,,,NA,,,
382,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_pycnoneura,NA,1,NA,,,,,NA,,,
383,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_quadrata,NA,1,NA,,,,,NA,,,
385,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_rigens,NA,1,NA,,,,,NA,,,
387,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_roroka,NA,1,NA,,,,,NA,,,
388,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_rouhaniana,NA,1,NA,,,,,NA,,,
389,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_rubiginosa,NA,1,NA,,,,,NA,,,
390,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_saccata,NA,1,NA,,,,,NA,,,
392,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_salvinii,NA,1,NA,,,,,NA,,,
393,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_scandens,NA,1,NA,,,,,NA,,,
394,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_schlechteri,NA,1,NA,,,,,NA,,,
395,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_schliebenii,NA,1,NA,,,,,NA,,,
396,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_semiamplectens,NA,1,NA,,,,,NA,,,
397,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_serratifolia,NA,1,NA,,,,,NA,,,
398,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_setosa,NA,1,NA,,,,,NA,,,
399,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_similis,NA,1,NA,,,,,NA,,,
400,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_simulans,NA,1,NA,,,,,NA,,,
402,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_smithii,NA,1,NA,,,,,NA,,,
403,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_solomonensis,NA,1,NA,,,,,NA,,,
404,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_spinulosa,NA,1,NA,,,,,NA,,,
405,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_stelligera,NA,1,NA,,,,,NA,,,
406,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_sternbergii,NA,1,NA,,,,,NA,,,
407,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_subdubia,NA,1,NA,,,,,NA,,,
408,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_sumatrana,NA,1,NA,,,,,NA,,,
409,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_sundueana,NA,1,NA,,,,,NA,,,
411,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_tanzaniana,NA,1,NA,,,,,NA,,,
412,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_tryoniana,NA,1,NA,,,,,NA,,,
413,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_tsaratananensis,NA,1,NA,,,,,NA,,,
414,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_tuyamae,NA,1,NA,,,,,NA,,,
415,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_urbanii,NA,1,NA,,,,,NA,,,
416,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_valdesquamata,NA,1,NA,,,,,NA,,,
417,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_vieillardii,NA,1,NA,,,,,NA,,,
